subjectId,blockName,blockCode,trialNum,word,colorName,targetKey,responseKey,responseColor,correct,cognitiveRT_ms,stimulusDisplayLatency_ms,registrationDelay_ms,totalMeasuredRT_ms,conditionCode
1234,"Practice",0,1,"eight","yellow","k","k","yellow",1,1270,33,0,1270,0
1234,"Practice",0,2,"ten","blue","j","j","blue",1,820,33,0,821,0
1234,"Practice",0,3,"five","yellow","k","k","yellow",1,785,33,0,785,0
1234,"Practice",0,4,"six","red","d","f","green",0,958,33,0,958,0
1234,"Practice",0,5,"three","green","f","f","green",1,604,33,0,604,0
1234,"Practice",0,6,"nine","red","d","d","red",1,502,33,0,502,0
1234,"Practice",0,7,"one","red","d","d","red",1,557,33,0,557,0
1234,"Practice",0,8,"four","blue","j","j","blue",1,408,33,0,408,0
1234,"Practice",0,9,"two","blue","j","j","blue",1,570,33,0,570,0
1234,"Practice",0,10,"seven","red","d","f","green",0,3033,33,0,3034,0
1234,"Neutral Words",3,1,"endure","red","d","d","red",1,1342,33,0,1343,3
1234,"Neutral Words",3,2,"crowd","red","d","d","red",1,620,33,0,621,3
1234,"Neutral Words",3,3,"tackle","red","d","d","red",1,686,33,0,686,3
1234,"Neutral Words",3,4,"crowd","green","f","f","green",1,607,33,0,608,3
1234,"Neutral Words",3,5,"fixture","green","f","f","green",1,387,33,0,387,3
1234,"Neutral Words",3,6,"tempo","green","f","f","green",1,437,33,0,437,3
1234,"Neutral Words",3,7,"ankle","green","f","f","green",1,573,33,0,573,3
1234,"Neutral Words",3,8,"ankle","blue","j","j","blue",1,382,33,0,383,3
1234,"Neutral Words",3,9,"grit","blue","j","j","blue",1,368,33,0,369,3
1234,"Neutral Words",3,10,"noisy","red","d","d","red",1,1421,34,0,1421,3
1234,"Neutral Words",3,11,"rival","yellow","k","k","yellow",1,771,33,0,771,3
1234,"Neutral Words",3,12,"evade","green","f","f","green",1,1022,33,0,1022,3
1234,"Neutral Words",3,13,"obsess","green","f","f","green",1,888,33,0,888,3
1234,"Neutral Words",3,14,"kicker","blue","j","d","red",0,573,34,0,573,3
1234,"Neutral Words",3,15,"endure","green","f","j","blue",0,543,33,0,543,3
1234,"Neutral Words",3,16,"flashy","red","d","f","green",0,412,33,0,412,3
1234,"Neutral Words",3,17,"pivot","green","f","f","green",1,587,33,0,587,3
1234,"Neutral Words",3,18,"visitor","yellow","k","k","yellow",1,691,33,0,691,3
1234,"Neutral Words",3,19,"crowd","blue","j","j","blue",1,856,33,0,856,3
1234,"Neutral Words",3,20,"endure","blue","j","j","blue",1,724,33,0,724,3
1234,"Neutral Words",3,21,"clutch","red","d","d","red",1,674,33,0,675,3
1234,"Neutral Words",3,22,"grit","green","f","f","green",1,673,33,0,673,3
1234,"Neutral Words",3,23,"obsess","red","d","d","red",1,782,33,0,783,3
1234,"Neutral Words",3,24,"clutch","yellow","k","k","yellow",1,839,33,0,840,3
1234,"Neutral Words",3,25,"crowd","yellow","k","k","yellow",1,1371,33,0,1371,3
1234,"Neutral Words",3,26,"fixture","red","d","d","red",1,771,33,0,771,3
1234,"Neutral Words",3,27,"evade","blue","j","j","blue",1,622,33,0,622,3
1234,"Neutral Words",3,28,"kicker","yellow","k","k","yellow",1,678,33,0,678,3
